Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
L,295.41951223431636,312.2886144226995,2048,66.74498213355581,165,0
L,304.6848877759438,305.9539927731321,1695,28.775172881729357,158,0
M,302.98714191654574,309.28702020986435,1789,61.51038727309327,13,0
L,297.92822036700966,305.2916976364526,1628,17.901214206172423,116,0
L,304.7997032935885,309.8089014660301,1973,52.30245438121556,224,0
L,301.0188158963632,311.62434011701066,1362,54.518663770839154,248,0
L,300.82422658207247,306.1850262359815,1565,50.663394472079226,72,0
L,302.4807317942953,307.88884938909166,2462,25.13888416810918,248,0
L,303.11769788090135,308.97836625502157,1271,62.382588820912204,90,0
L,301.564786073315,314.1953102465605,1854,20.1315078022237,215,0
H,296.280957463662,314.93255015422966,1468,13.21808749124985,204,0
L,298.382675059945,305.4491129899562,1614,53.04789943671473,89,0
L,304.2808364032605,312.6100792349539,2468,38.52854291396402,28,0
M,297.24615611843853,308.71724066402345,2215,60.94588119752056,178,0
L,298.7216702383751,308.9245818622948,1874,33.00382846349554,48,0
M,299.32076882944193,312.5426497334702,2283,20.09671531046277,170,1
L,299.3940498969445,314.18426432145407,1205,60.186531548192185,219,0
H,301.1293958249453,314.5092859450255,2181,42.9345778984043,219,0
L,304.4307583774471,310.7712258603832,1769,21.351747543421293,71,0
L,297.40692711832503,308.57121159300505,1606,53.223039915186746,214,0
L,296.21501376300915,312.8754908585878,2440,40.66681830937003,220,0
H,296.9747048985994,307.51001383262303,1225,46.25877893441919,132,0
L,303.8692490020927,310.64074028833517,2228,37.65390029239491,41,0
L,301.4581081265521,308.5857846152487,2185,59.72253902908038,134,0
L,297.8590678923916,311.56631073707877,1589,59.77376294098299,41,0
M,303.1594693896862,307.40398912893505,1909,52.56332930946317,163,0
L,303.61369996363436,306.9159294573483,1770,16.324082643787737,104,0
M,303.4651433869028,314.18239086675436,1953,60.33123171424413,26,0
L,304.1892653363955,306.0180368294954,1345,50.26077883197459,57,0
L,297.52241020173363,310.0595790773493,1984,51.82144996025797,45,0
L,302.5504192874628,307.2085278296301,2472,31.7789704242323,65,0
L,299.6053949727414,305.38929963325666,1725,62.7567733694204,24,1
L,303.4199855289006,305.36018818291427,1212,53.522296014091445,72,0
L,302.28490677161614,306.7522177210583,2102,16.755427991751667,116,0
M,302.76447446499725,313.66770354506,1583,34.46668206436976,154,0
L,301.5616183768107,307.82478743977026,1755,63.182821717608505,128,0
L,296.7742876946971,314.50459170575294,2086,12.83180210184274,86,0
L,300.4502691889694,310.8162229298919,1218,67.68499717852296,73,0
L,304.8466973952451,309.36614189768767,1774,50.74975409917377,169,0
L,304.3738806649712,310.80088834669453,1950,47.8825586586026,179,0
L,295.4317373579701,310.16698385226266,2203,26.233555389279484,152,0
L,296.6481481572944,312.58776253757327,1618,24.927507324350625,181,0
M,296.31728773454563,307.8249606597285,1618,66.52349316931573,124,0
H,302.25979909985296,308.530503916003,1321,27.896347254047363,66,0
L,303.17785329856946,313.9409430253325,1631,56.530317803139965,5,0
L,297.1351136631067,314.46456513150406,1243,33.58730789242475,124,0
M,300.0585269295183,313.9255822748647,1580,18.35524424708224,57,0
L,303.407030280112,309.1944799395731,1344,10.642917861721537,69,0
L,302.3280154476625,312.8036550300688,1562,42.65544022091505,52,0
L,300.42237205491847,309.763357333011,2273,68.54672911293596,65,0
M,300.9034769045877,309.97539852146105,2288,32.14817162855227,57,0
M,300.0836054691628,307.04680109057284,1554,31.43154003958269,249,0
L,297.9754845131882,310.9113030325852,1999,30.645497070966524,81,0
L,300.65021992859016,306.8613589775335,2387,41.232630238291506,86,0
L,301.8888530205009,308.31564699067195,2364,36.43989300545761,1,0
M,303.7332291586081,313.55030201619934,2025,62.79487760362087,203,0
L,301.3629135397925,307.0707580921086,2351,40.331247503409415,149,0
L,302.6112153704316,305.7115828517343,1597,40.465470291314126,36,0
M,296.60071634954573,305.69007592612815,2079,18.302295683233396,147,0
L,299.6155747441979,314.4078452050311,1662,68.96437245462316,102,0
M,295.09331619827094,310.0692043796183,2007,24.99837345212978,23,0
L,297.46678864521624,309.0941207181702,1386,14.40184404757616,111,0
